name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
Buick Opel Isuzu Deluxe,30,4,111,80,2155,14.8,77
Buick Regal Sport Coupe (Turbo),17.7,6,231,165,3445,13.4,78
Buick Skyhawk,21,6,231,110,3039,15,75
Buick Skylark 320,15,8,350,165,3693,11.5,70
Buick Skylark Limited,28.4,4,151,90,2670,16,79
Buick Skylark,20.5,6,231,105,3425,16.9,77
Buick Skylark,26.6,4,151,84,2635,16.4,81
Cadillac Eldorado,23,8,350,125,3900,17.4,79
Cadillac Seville,16.5,8,350,180,4380,12.1,76
Chevroelt Chevelle Malibu,16,6,250,105,3897,18.5,75
Chevrolet Bel Air,15,8,350,145,4440,14,75
Chevrolet Camaro,27,4,151,90,2950,17.3,82
Chevrolet Caprice Classic,13,8,400,150,4464,12,73
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79
Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77
Chevrolet Cavalier 2-Door,34,4,112,88,2395,18,82
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82
Chevrolet Cavalier,28,4,112,88,2605,19.6,82
Chevrolet Chevelle Concours (Wagon),,8,350,165,4142,11.5,70
Chevrolet Chevelle Concours (Wagon),13,8,307,130,4098,14,72
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70
Chevrolet Chevette,29,4,85,52,2035,22.2,76
Chevrolet Chevette,30,4,98,68,2155,16.5,78
Chevrolet Chevette,30.5,4,98,63,2051,17,77
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80
Chevrolet Citation,23.5,6,173,110,2725,12.6,81
Chevrolet Citation,28,4,151,90,2678,16.5,80
Chevrolet Citation,28.8,6,173,115,2595,11.3,79
Chevrolet Concours,17.5,6,250,110,3520,16.4,77
Chevrolet Impala,11,8,400,150,4997,14,73
Chevrolet Impala,13,8,350,165,4274,12,72
Chevrolet Impala,14,8,350,165,4209,12,71
Chevrolet Impala,14,8,454,220,4354,9,70
Chevrolet Malibu Classic (Wagon),19.2,8,267,125,3605,15,79
Chevrolet Malibu,13,8,350,145,3988,13,73
Chevrolet Malibu,20.5,6,200,95,3155,18.2,78
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75
Chevrolet Nova Custom,16,6,250,100,3278,18,73
Chevrolet Nova,15,6,250,100,3336,17,74
Chevrolet Nova,18,6,250,105,3459,16,75
Chevrolet Nova,22,6,250,105,3353,14.5,76
Chevrolet Vega (Wagon),22,4,140,72,2408,19,71
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71
Chevrolet Vega,20,4,140,90,2408,19.5,72
Chevrolet Vega,21,4,140,72,2401,19.5,73
Chevrolet Vega,25,4,140,75,2542,17,74
Chevrolet Woody,24.5,4,98,60,2164,22.1,76
Chevy C10,13,8,350,145,4055,12,76
Chevy C20,10,8,307,200,4376,15,70
Chevy S-10,31,4,119,82,2720,19.4,82
Chrysler Cordoba,15.5,8,400,190,4325,12.2,77
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81
Chrysler Lebaron Town & Country (Wagon),18.5,8,360,150,3940,13,79
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73
Chrysler Newport Royal,13,8,400,190,4422,12.5,72
Citroen DS-21 Pallas,,4,133,115,3090,17.5,70
Datsun 1200,35,4,72,69,1613,18,71
Datsun 200SX,23.9,4,119,97,2405,14.9,78
Datsun 200SX,32.9,4,119,100,2615,14.8,81
Datsun 210,31.8,4,85,65,2020,19.2,79
Datsun 210,37,4,85,65,1975,19.4,81
Datsun 210,40.8,4,85,65,2110,19.2,80
Datsun 280ZX,32.7,6,168,132,2910,11.4,80
Datsun 310 GX,38,4,91,67,1995,16.2,82
Datsun 310,37.2,4,86,65,2019,16.4,80
Datsun 510 (Wagon),28,4,97,92,2288,17,72
Datsun 510 Hatchback,37,4,119,92,2434,15,80
Datsun 510,27.2,4,119,97,2300,14.7,78
Datsun 610,22,4,108,94,2379,16.5,73
Datsun 710,24,4,119,97,2545,17,75
Datsun 710,32,4,83,61,2003,19,74
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81
Datsun 810,22,6,146,97,2815,14.5,77
Datsun B-210,32,4,85,70,1990,17,76
Datsun B210 GX,39.4,4,85,70,2070,18.6,78
Datsun B210,31,4,79,67,1950,19,74
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77
Datsun PL510,27,4,97,88,2130,14.5,70
Datsun PL510,27,4,97,88,2130,14.5,71
Dodge Aries SE,29,4,135,84,2525,16,82
Dodge Aries Wagon (Wagon),25.8,4,156,92,2620,14.4,81
Dodge Aspen 6,20.6,6,225,110,3360,16.6,79
Dodge Aspen SE,20,6,225,100,3651,17.7,76
Dodge Aspen,18.6,6,225,110,3620,18.7,78
Dodge Aspen,19.1,6,225,90,3381,18.7,80
Dodge Challenger SE,15,8,383,170,3563,10,70
Dodge Charger 2.2,36,4,135,84,2370,13,82
Dodge Colt (Wagon),28,4,98,80,2164,15,72
Dodge Colt Hardtop,25,4,97.5,80,2126,17,72
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79
Dodge Colt M/M,33.5,4,98,83,2075,15.9,77
Dodge Colt,26,4,98,79,2255,17.7,76
Dodge Colt,27.9,4,156,105,2800,14.4,80
